"rel_month","month_str","coef_log","se","ci_low_log","ci_high_log","pct_effect"
-27,"2020-03",0.06389796035597632,0.05270011699451149,-0.04486973530662461,0.17266565601857725,6.598362062257501
-26,"2020-04",0.05834818272039791,0.051399691264485466,-0.04773556614849823,0.16443193158929406,6.0084034403060205
-25,"2020-05",0.016323374065583263,0.04792179603397018,-0.0825823518395594,0.11522909997072593,1.645732820466539
-24,"2020-06",-0.010990831785393928,0.04564184276992689,-0.10519096542829852,0.08320930185751067,-1.093065326616871
-23,"2020-07",0.016994758732814644,0.04914522832513556,-0.08443600731831354,0.11842552478394282,1.7139991208811045
-22,"2020-08",3.489906733556424e-4,0.046966354926781965,-0.09658480170494098,0.09728278305165226,0.034905157768538864
-21,"2020-09",-0.03247649474949909,0.04616916812495925,-0.12776497443416496,0.06281198493516679,-3.1954796291103427
-20,"2020-10",0.00797869122116628,0.04200464669877229,-0.07871463868212324,0.09467202112445579,0.8010605800360171
-19,"2020-11",-0.008457055239548547,0.042384291692678884,-0.09593393389969117,0.07901982342059406,-0.842139494571803
-18,"2020-12",-0.04564282720854235,0.04902046730141286,-0.14681609916226201,0.05553044474517731,-4.4616861879938075
-17,"2021-01",-0.0068615592365979415,0.04554103557086846,-0.10085363704636409,0.08713051857316821,-0.6838072488292934
-16,"2021-02",0.02590459404702231,0.03967581837384004,-0.05598227042616093,0.10779145852020554,2.6243034108053953
-15,"2021-03",-0.009699122453803867,0.038289802987493286,-0.08872539176471173,0.069327146857104,-0.965223766847878
-14,"2021-04",-0.023665254829487517,0.039372826258546476,-0.10492677431173174,0.057596264652756704,-2.3387428611084893
-13,"2021-05",-0.011028166611490134,0.03796644640051425,-0.08938706072763901,0.06733072750465875,-1.0967579308908126
-12,"2021-06",-0.023980846404210106,0.03648846885001537,-0.09928934477976584,0.05132765197134562,-2.3695590681149237
-11,"2021-07",-0.016080212723245894,0.03788719879455873,-0.0942755478194507,0.06211512237295892,-1.5951616311184469
-10,"2021-08",-0.018391252767973994,0.03416628248928704,-0.08890699405379032,0.05212448851784233,-1.8223165700027688
-9,"2021-09",-0.03218632606248725,0.030547790008314406,-0.09523386592156233,0.030861213796587822,-3.1673859127762327
-8,"2021-10",-0.01830399971884519,0.024460876340704513,-0.06878876721458622,0.03218076777689585,-1.8137498940382413
-7,"2021-11",-0.020757167794478906,0.019710972918891102,-0.061438616450067214,0.0199242808611094,-2.0543220656311423
-6,"2021-12",-0.0017675270982323056,0.014465526599031761,-0.0316229066391659,0.02808785244270129,-0.1765965942141512
-5,"2022-01",0.04430477923301253,0.012999521543890247,0.01747508541672492,0.07113447304930014,4.530089234841395
-4,"2022-02",0.036130808589651064,0.011767540157894675,0.011843799383872217,0.060417817795429915,3.6791458849594116
